,mol_name,mol_tag,smiles_str,cgsmiles_str,OCO,HD,CLF
186,ortho-Methylanisole,OMA	,COc1ccccc1C,"{[#TC4]1[#SN2a]2[#TC5][#TC5]12}.{#TC4=[$][$]cC,#SN2a=[$][$]cOC,#TC5=[$]cc[$]}",,,
187,o-Xylene,OXYLE,Cc1c(C)cccc1,"{[#SC4]1[#SC4][#TC5]1}.{#SC4=Cc[$]c[$],#TC5=[$]cc[$]}",19.796,17.577,24.333
188,Propyl-benzene,PBEN,CCCc1ccccc1,"{[#TC5A]21[#TC5][#TC5A]2[#SC2]1}.{#SC2=[$]CCC,#TC5A=c[!A]cc[!B][$],#TC5=c[!A]cc[!A]}",20.11,20.891,25.642
189,Propyl-benzoate,PBZOA,CCCOC(=O)c1ccccc1,"{[#TC5A]21[#TC5][#TC5A]2[#SN4a]1[#SC2]}.{#SN4a=[$]C(=O)O[>],#SC2=[<]CCC,#TC5A=c[!A]cc[!B][$],#TC5=c[!A]cc[!A]}",20.451,19.156,25.788
190,p-Cresol,PCRE,Cc1ccc(O)cc1,"{[#TN6]1[#TC5]2[#TC5A][#TC5]12}.{#TN6=[$][$]cO,#TC5=[$]cc[$],#TC5A=[$][$]cC}",6.657,0.738,9.02
191,p-Cymene,PCYM,c1cc(ccc1C(C)C)C,"{[#C3]1[#TC5]2[#TC4][#TC5]12}.{#C3=[$][$]cC(C)C,#TC5=[$]cc[$],#TC4=[$][$]cC}",25.33,24.23,29.032
192,Phenol,PHEN,Oc1ccccc1,"{[#SN6]1[#TC5][#TC5]1}.{#SN6=Oc(c[!])c[!],#TC5=[!]ccc[!]}",3.48,-3.35,3.78
193,Piperidine,PIPER,C1CCNCC1,"{[#SN6d]1[#SC3]1}.{#SN6d=[$]CNC[$],#SC3=[$]CCC[$]}",6.258,1.77,5.382
194,p-Xylene,PXYLE,Cc1ccc(C)cc1,"{[#TC5A]1[#TC5]2[#TC5A][#TC5]12}.{#TC5=[$]cc[$],#TC5A=[$][$]cC}",16.483,14.736,22.457
195,Pyridazine,PYAZ,c1ccnnc1,"{[#TN1a]1[#TC5][#TC5]1}.{#TC5=[$]cc[$],#TN1a=[$]nn[$]}",11.789,8.999,15.796
196,Pyrrolidine,PYLI,C1CCNC1,"{[#TN6d]1[#SC3]1}.{#TN6d=[!]CNC[!],#SC3=[!]CCCC[!]}",4.878,1.917,4.622
197,Pyridine,PYRI,c1cccnc1,"{[#TN6a]1[#TC5][#TC5]1}.{#TC5=[$]cc[$],#TN6a=[$]cn[$]}",4.83,-0.72,
198,Pyrrole,PYRR,[nH]1cccc1,"{[#TN6d]1[#TC5][#TC5]1}.{#TC5=[$]cc[$],#TN6d=[$]n[$]}",4.509,-0.847,5.562
199,Styrene,STYR,c1ccccc1C=C,"{[#TC5A]21[#TC5][#TC5A]2[#TC5B]1}.{#TC5B=[$]C=C,#TC5A=c[!A]cc[!B][$],#TC5=c[!A]cc[!A]}",18.58,18.83,23.619999999999997
200,"1,2,4-Trichlorobenzene",TCLBZ,Clc1ccc(Cl)c(Cl)c1,{[#SX3]1[#SX3][#SX3]1}.{#SX3=Clc[$]c[$]},20.747,22.255,30.591
201,Thiazole,THAZ,n1ccsc1,"{[#TN6a]1[#TC6][#TC5]1}.{#TN6a=[$]cn[$],#TC5=[$]cc[$],#TC6=[$]s[$]}",3.634,-2.92,5.447
202,Tetrahydrofuran,THF,C1CCOC1,"{[#TN4a]1[#SC3]1}.{#TN4a=[!]COC[!],#SC3=[!]CCCC[!]}",7.71,5.57,9.4
203,Thiophene,THIO,c1ccsc1,"{[#TC5]1[#TC6][#TC5]1}.{#TC5=[$]cc[$],#TC6=[$]s[$]}",11.52,9.097,16.995
204,Tetrahydropyran,THP,O1CCCCC1,"{[#SN4a]1[#SC3]1}.{#SN4a=[$]COC[$],#SC3=[$]CCC[$]}",9.58,6.01,11.48
205,Thiophenol,THPH,Sc1ccccc1,"{[#SC6]1[#TC5][#TC5]1}.{#SC6=Sc(c[!])c[!],#TC5=[!]ccc[!]}",12.81,9.805,18.511
206,Tetrahydrothiophene,THT,S1CCCC1,"{[#SC6]1[#TC3]1}.{#SC6=[$]CSC[$],#TC3=[$]CC[$]}",11.776,10.969,15.656
207,Toluene,TOLU,Cc1ccccc1,"{[#SC4]1[#TC5][#TC5]1}.{#SC4=Cc(c[!])c[!],#TC5=[!]ccc[!]}",15.955,14.35,20.712
208,Methoxybenzene,XBZ,COc1ccccc1,"{[#TC5A]21[#TC5][#TC5A]2[#TN2a]1}.{#TN2a=[$]OC,#TC5A=c[!A]cc[!B][$],#TC5=c[!A]cc[!A]}",14.274,10.923,19.349
